1	14	15	2	1
2	15	16	3	2
3	16	17	4	3
4	17	18	5	4
5	18	19	6	5
6	19	20	7	6
7	20	21	8	7
8	21	22	9	8
9	22	23	10	9
10	23	24	11	10
11	24	25	12	11
12	25	26	13	12
13	27	28	15	14
14	28	29	16	15
15	29	30	17	16
16	30	31	18	17
17	31	32	19	18
18	32	33	20	19
19	33	34	21	20
20	34	35	22	21
21	35	36	23	22
22	36	37	24	23
23	37	38	25	24
24	38	39	26	25
25	40	41	28	27
26	41	42	29	28
27	42	43	30	29
28	43	44	31	30
29	44	45	32	31
30	45	46	33	32
31	46	47	34	33
32	47	48	35	34
33	48	49	36	35
34	49	50	37	36
35	50	51	38	37
36	51	52	39	38
37	53	54	41	40
38	54	55	42	41
39	55	56	43	42
40	56	57	44	43
41	57	58	45	44
42	58	59	46	45
43	59	60	47	46
44	60	61	48	47
45	61	62	49	48
46	62	63	50	49
47	63	64	51	50
48	64	65	52	51
49	66	67	54	53
50	67	68	55	54
51	68	69	56	55
52	69	70	57	56
53	70	71	58	57
54	71	72	59	58
55	72	73	60	59
56	73	74	61	60
57	74	75	62	61
58	75	76	63	62
59	76	77	64	63
60	77	78	65	64
61	79	80	67	66
62	80	81	68	67
63	81	82	69	68
64	82	83	70	69
65	83	84	71	70
66	84	85	72	71
67	85	86	73	72
68	86	87	74	73
69	87	88	75	74
70	88	89	76	75
71	89	90	77	76
72	90	91	78	77
73	92	93	80	79
74	93	94	81	80
75	94	95	82	81
76	95	96	83	82
77	96	97	84	83
78	97	98	85	84
79	98	99	86	85
80	99	100	87	86
81	100	101	88	87
82	101	102	89	88
83	102	103	90	89
84	103	104	91	90
85	105	106	93	92
86	106	107	94	93
87	107	108	95	94
88	108	109	96	95
89	109	110	97	96
90	110	111	98	97
91	111	112	99	98
92	112	113	100	99
93	113	114	101	100
94	114	115	102	101
95	115	116	103	102
96	116	117	104	103
97	118	119	106	105
98	119	120	107	106
99	120	121	108	107
100	121	122	109	108
101	122	123	110	109
102	123	124	111	110
103	124	125	112	111
104	125	126	113	112
105	126	127	114	113
106	127	128	115	114
107	128	129	116	115
108	129	130	117	116
109	131	132	119	118
110	132	133	120	119
111	133	134	121	120
112	134	135	122	121
113	135	136	123	122
114	136	137	124	123
115	137	138	125	124
116	138	139	126	125
117	139	140	127	126
118	140	141	128	127
119	141	142	129	128
120	142	143	130	129
121	144	145	132	131
122	145	146	133	132
123	146	147	134	133
124	147	148	135	134
125	148	149	136	135
126	149	150	137	136
127	150	151	138	137
128	151	152	139	138
129	152	153	140	139
130	153	154	141	140
131	154	155	142	141
132	155	156	143	142
133	157	158	145	144
134	158	159	146	145
135	159	160	147	146
136	160	161	148	147
137	161	162	149	148
138	162	163	150	149
139	163	164	151	150
140	164	165	152	151
141	165	166	153	152
142	166	167	154	153
143	167	168	155	154
144	168	169	156	155
