1	0	3	0
2	0.25	3	0
3	0.5	3	0
4	0.75	3	0
5	1	3	0
6	1.25	3	0
7	1.5	3	0
8	1.75	3	0
9	2	3	0
10	2.25	3	0
11	2.5	3	0
12	2.75	3	0
13	3	3	0
14	0	2.75	0
15	0.25	2.75	0
16	0.5	2.75	0
17	0.75	2.75	0
18	1	2.75	0
19	1.25	2.75	0
20	1.5	2.75	0
21	1.75	2.75	0
22	2	2.75	0
23	2.25	2.75	0
24	2.5	2.75	0
25	2.75	2.75	0
26	3	2.75	0
27	0	2.5	0
28	0.25	2.5	0
29	0.5	2.5	0
30	0.75	2.5	0
31	1	2.5	0
32	1.25	2.5	0
33	1.5	2.5	0
34	1.75	2.5	0
35	2	2.5	0
36	2.25	2.5	0
37	2.5	2.5	0
38	2.75	2.5	0
39	3	2.5	0
40	0	2.25	0
41	0.25	2.25	0
42	0.5	2.25	0
43	0.75	2.25	0
44	1	2.25	0
45	1.25	2.25	0
46	1.5	2.25	0
47	1.75	2.25	0
48	2	2.25	0
49	2.25	2.25	0
50	2.5	2.25	0
51	2.75	2.25	0
52	3	2.25	0
53	0	2	0
54	0.25	2	0
55	0.5	2	0
56	0.75	2	0
57	1	2	0
58	1.25	2	0
59	1.5	2	0
60	1.75	2	0
61	2	2	0
62	2.25	2	0
63	2.5	2	0
64	2.75	2	0
65	3	2	0
66	0	1.75	0
67	0.25	1.75	0
68	0.5	1.75	0
69	0.75	1.75	0
70	1	1.75	0
71	1.25	1.75	0
72	1.5	1.75	0
73	1.75	1.75	0
74	2	1.75	0
75	2.25	1.75	0
76	2.5	1.75	0
77	2.75	1.75	0
78	3	1.75	0
79	0	1.5	0
80	0.25	1.5	0
81	0.5	1.5	0
82	0.75	1.5	0
83	1	1.5	0
84	1.25	1.5	0
85	1.5	1.5	0
86	1.75	1.5	0
87	2	1.5	0
88	2.25	1.5	0
89	2.5	1.5	0
90	2.75	1.5	0
91	3	1.5	0
92	0	1.25	0
93	0.25	1.25	0
94	0.5	1.25	0
95	0.75	1.25	0
96	1	1.25	0
97	1.25	1.25	0
98	1.5	1.25	0
99	1.75	1.25	0
100	2	1.25	0
101	2.25	1.25	0
102	2.5	1.25	0
103	2.75	1.25	0
104	3	1.25	0
105	0	1	0
106	0.25	1	0
107	0.5	1	0
108	0.75	1	0
109	1	1	0
110	1.25	1	0
111	1.5	1	0
112	1.75	1	0
113	2	1	0
114	2.25	1	0
115	2.5	1	0
116	2.75	1	0
117	3	1	0
118	0	0.75	0
119	0.25	0.75	0
120	0.5	0.75	0
121	0.75	0.75	0
122	1	0.75	0
123	1.25	0.75	0
124	1.5	0.75	0
125	1.75	0.75	0
126	2	0.75	0
127	2.25	0.75	0
128	2.5	0.75	0
129	2.75	0.75	0
130	3	0.75	0
131	0	0.5	0
132	0.25	0.5	0
133	0.5	0.5	0
134	0.75	0.5	0
135	1	0.5	0
136	1.25	0.5	0
137	1.5	0.5	0
138	1.75	0.5	0
139	2	0.5	0
140	2.25	0.5	0
141	2.5	0.5	0
142	2.75	0.5	0
143	3	0.5	0
144	0	0.25	0
145	0.25	0.25	0
146	0.5	0.25	0
147	0.75	0.25	0
148	1	0.25	0
149	1.25	0.25	0
150	1.5	0.25	0
151	1.75	0.25	0
152	2	0.25	0
153	2.25	0.25	0
154	2.5	0.25	0
155	2.75	0.25	0
156	3	0.25	0
157	0	0	0
158	0.25	0	0
159	0.5	0	0
160	0.75	0	0
161	1	0	0
162	1.25	0	0
163	1.5	0	0
164	1.75	0	0
165	2	0	0
166	2.25	0	0
167	2.5	0	0
168	2.75	0	0
169	3	0	0
